,Status,Levels,Rooms,Materials,Engagement,labels,source
62,"no longer leaking, wet <1 day",1 floor,4 rooms,walls,attorney,FS,water
63,"no longer leaking, wet <1 day",1 floor,4 rooms,walls,public adjuster,FS,water
64,"no longer leaking, wet <1 day",1 floor,4 rooms,ceiling,no,CCC,water
65,"no longer leaking, wet <1 day",1 floor,4 rooms,ceiling,contractor,FS,water
66,"no longer leaking, wet <1 day",1 floor,4 rooms,ceiling,attorney,FS,water
67,"no longer leaking, wet <1 day",1 floor,4 rooms,ceiling,public adjuster,FS,water
68,"no longer leaking, wet <1 day",1 floor,4 rooms,cabinets,no,CCC,water
69,"no longer leaking, wet <1 day",1 floor,4 rooms,cabinets,contractor,FS,water
70,"no longer leaking, wet <1 day",1 floor,4 rooms,cabinets,attorney,FS,water
71,"no longer leaking, wet <1 day",1 floor,4 rooms,cabinets,public adjuster,FS,water
72,"no longer leaking, wet <1 day",1 floor,4 rooms,vinyl floor covering,no,CCC,water
73,"no longer leaking, wet <1 day",1 floor,4 rooms,vinyl floor covering,contractor,FS,water
74,"no longer leaking, wet <1 day",1 floor,4 rooms,vinyl floor covering,attorney,FS,water
75,"no longer leaking, wet <1 day",1 floor,4 rooms,vinyl floor covering,public adjuster,FS,water
76,"no longer leaking, wet <1 day",1 floor,4 rooms,fixtures,no,CCC,water
77,"no longer leaking, wet <1 day",1 floor,4 rooms,fixtures,contractor,FS,water
78,"no longer leaking, wet <1 day",1 floor,4 rooms,fixtures,attorney,FS,water
79,"no longer leaking, wet <1 day",1 floor,4 rooms,fixtures,public adjuster,FS,water
80,"no longer leaking, wet <1 day",1 floor,4 rooms,contents (personal belongings),no,CCC,water
81,"no longer leaking, wet <1 day",1 floor,4 rooms,contents (personal belongings),contractor,FS,water
82,"no longer leaking, wet <1 day",1 floor,4 rooms,contents (personal belongings),attorney,FS,water
83,"no longer leaking, wet <1 day",1 floor,4 rooms,contents (personal belongings),public adjuster,FS,water
84,"no longer leaking, wet <1 day",1 floor,5 or more rooms,floors,no,CCC,water
85,"no longer leaking, wet <1 day",1 floor,5 or more rooms,floors,contractor,FS,water
86,"no longer leaking, wet <1 day",1 floor,5 or more rooms,floors,attorney,FS,water
87,"no longer leaking, wet <1 day",1 floor,5 or more rooms,floors,public adjuster,FS,water
88,"no longer leaking, wet <1 day",1 floor,5 or more rooms,walls,no,CCC,water
89,"no longer leaking, wet <1 day",1 floor,5 or more rooms,walls,contractor,FS,water
90,"no longer leaking, wet <1 day",1 floor,5 or more rooms,walls,attorney,FS,water
91,"no longer leaking, wet <1 day",1 floor,5 or more rooms,walls,public adjuster,FS,water
92,"no longer leaking, wet <1 day",1 floor,5 or more rooms,ceiling,no,CCC,water
93,"no longer leaking, wet <1 day",1 floor,5 or more rooms,ceiling,contractor,FS,water
94,"no longer leaking, wet <1 day",1 floor,5 or more rooms,ceiling,attorney,FS,water
95,"no longer leaking, wet <1 day",1 floor,5 or more rooms,ceiling,public adjuster,FS,water
96,"no longer leaking, wet <1 day",1 floor,5 or more rooms,cabinets,no,CCC,water
97,"no longer leaking, wet <1 day",1 floor,5 or more rooms,cabinets,contractor,FS,water
98,"no longer leaking, wet <1 day",1 floor,5 or more rooms,cabinets,attorney,FS,water
99,"no longer leaking, wet <1 day",1 floor,5 or more rooms,cabinets,public adjuster,FS,water
100,"no longer leaking, wet <1 day",1 floor,5 or more rooms,vinyl floor covering,no,CCC,water
101,"no longer leaking, wet <1 day",1 floor,5 or more rooms,vinyl floor covering,contractor,FS,water
102,"no longer leaking, wet <1 day",1 floor,5 or more rooms,vinyl floor covering,attorney,FS,water
103,"no longer leaking, wet <1 day",1 floor,5 or more rooms,vinyl floor covering,public adjuster,FS,water
104,"no longer leaking, wet <1 day",1 floor,5 or more rooms,fixtures,no,CCC,water
105,"no longer leaking, wet <1 day",1 floor,5 or more rooms,fixtures,contractor,FS,water
106,"no longer leaking, wet <1 day",1 floor,5 or more rooms,fixtures,attorney,FS,water
107,"no longer leaking, wet <1 day",1 floor,5 or more rooms,fixtures,public adjuster,FS,water
108,"no longer leaking, wet <1 day",1 floor,5 or more rooms,contents (personal belongings),no,CCC,water
109,"no longer leaking, wet <1 day",1 floor,5 or more rooms,contents (personal belongings),contractor,FS,water
110,"no longer leaking, wet <1 day",1 floor,5 or more rooms,contents (personal belongings),attorney,FS,water
111,"no longer leaking, wet <1 day",1 floor,5 or more rooms,contents (personal belongings),public adjuster,FS,water
112,"no longer leaking, wet <1 day",2 floors or more,1-2 rooms,floors,no,CCC,water
113,"no longer leaking, wet <1 day",2 floors or more,1-2 rooms,floors,contractor,FS,water
114,"no longer leaking, wet <1 day",2 floors or more,1-2 rooms,floors,attorney,FS,water
115,"no longer leaking, wet <1 day",2 floors or more,1-2 rooms,floors,public adjuster,FS,water
116,"no longer leaking, wet <1 day",2 floors or more,1-2 rooms,walls,no,CCC,water
117,"no longer leaking, wet <1 day",2 floors or more,1-2 rooms,walls,contractor,FS,water
118,"no longer leaking, wet <1 day",2 floors or more,1-2 rooms,walls,attorney,FS,water
119,"no longer leaking, wet <1 day",2 floors or more,1-2 rooms,walls,public adjuster,FS,water
120,"no longer leaking, wet <1 day",2 floors or more,1-2 rooms,ceiling,no,CCC,water
121,"no longer leaking, wet <1 day",2 floors or more,1-2 rooms,ceiling,contractor,FS,water
122,"no longer leaking, wet <1 day",2 floors or more,1-2 rooms,ceiling,attorney,FS,water
123,"no longer leaking, wet <1 day",2 floors or more,1-2 rooms,ceiling,public adjuster,FS,water
124,"no longer leaking, wet <1 day",2 floors or more,1-2 rooms,cabinets,no,CCC,water
125,"no longer leaking, wet <1 day",2 floors or more,1-2 rooms,cabinets,contractor,FS,water
126,"no longer leaking, wet <1 day",2 floors or more,1-2 rooms,cabinets,attorney,FS,water
127,"no longer leaking, wet <1 day",2 floors or more,1-2 rooms,cabinets,public adjuster,FS,water
128,"no longer leaking, wet <1 day",2 floors or more,1-2 rooms,vinyl floor covering,no,CCC,water
129,"no longer leaking, wet <1 day",2 floors or more,1-2 rooms,vinyl floor covering,contractor,FS,water
130,"no longer leaking, wet <1 day",2 floors or more,1-2 rooms,vinyl floor covering,attorney,FS,water
131,"no longer leaking, wet <1 day",2 floors or more,1-2 rooms,vinyl floor covering,public adjuster,FS,water
132,"no longer leaking, wet <1 day",2 floors or more,1-2 rooms,fixtures,no,CCC,water
133,"no longer leaking, wet <1 day",2 floors or more,1-2 rooms,fixtures,contractor,FS,water
134,"no longer leaking, wet <1 day",2 floors or more,1-2 rooms,fixtures,attorney,FS,water
135,"no longer leaking, wet <1 day",2 floors or more,1-2 rooms,fixtures,public adjuster,FS,water
136,"no longer leaking, wet <1 day",2 floors or more,1-2 rooms,contents (personal belongings),no,CCC,water
137,"no longer leaking, wet <1 day",2 floors or more,1-2 rooms,contents (personal belongings),contractor,FS,water
138,"no longer leaking, wet <1 day",2 floors or more,1-2 rooms,contents (personal belongings),attorney,FS,water
139,"no longer leaking, wet <1 day",2 floors or more,1-2 rooms,contents (personal belongings),public adjuster,FS,water
140,"no longer leaking, wet <1 day",2 floors or more,3 rooms,floors,no,CCC,water
141,"no longer leaking, wet <1 day",2 floors or more,3 rooms,floors,contractor,FS,water
142,"no longer leaking, wet <1 day",2 floors or more,3 rooms,floors,attorney,FS,water
143,"no longer leaking, wet <1 day",2 floors or more,3 rooms,floors,public adjuster,FS,water
144,"no longer leaking, wet <1 day",2 floors or more,3 rooms,walls,no,CCC,water
145,"no longer leaking, wet <1 day",2 floors or more,3 rooms,walls,contractor,FS,water
146,"no longer leaking, wet <1 day",2 floors or more,3 rooms,walls,attorney,FS,water
147,"no longer leaking, wet <1 day",2 floors or more,3 rooms,walls,public adjuster,FS,water
148,"no longer leaking, wet <1 day",2 floors or more,3 rooms,ceiling,no,CCC,water
149,"no longer leaking, wet <1 day",2 floors or more,3 rooms,ceiling,contractor,FS,water
150,"no longer leaking, wet <1 day",2 floors or more,3 rooms,ceiling,attorney,FS,water
151,"no longer leaking, wet <1 day",2 floors or more,3 rooms,ceiling,public adjuster,FS,water
152,"no longer leaking, wet <1 day",2 floors or more,3 rooms,cabinets,no,CCC,water
153,"no longer leaking, wet <1 day",2 floors or more,3 rooms,cabinets,contractor,FS,water
154,"no longer leaking, wet <1 day",2 floors or more,3 rooms,cabinets,attorney,FS,water
155,"no longer leaking, wet <1 day",2 floors or more,3 rooms,cabinets,public adjuster,FS,water
156,"no longer leaking, wet <1 day",2 floors or more,3 rooms,vinyl floor covering,no,CCC,water
157,"no longer leaking, wet <1 day",2 floors or more,3 rooms,vinyl floor covering,contractor,FS,water
158,"no longer leaking, wet <1 day",2 floors or more,3 rooms,vinyl floor covering,attorney,FS,water
159,"no longer leaking, wet <1 day",2 floors or more,3 rooms,vinyl floor covering,public adjuster,FS,water
160,"no longer leaking, wet <1 day",2 floors or more,3 rooms,fixtures,no,CCC,water
161,"no longer leaking, wet <1 day",2 floors or more,3 rooms,fixtures,contractor,FS,water
162,"no longer leaking, wet <1 day",2 floors or more,3 rooms,fixtures,attorney,FS,water
163,"no longer leaking, wet <1 day",2 floors or more,3 rooms,fixtures,public adjuster,FS,water
164,"no longer leaking, wet <1 day",2 floors or more,3 rooms,contents (personal belongings),no,CCC,water
165,"no longer leaking, wet <1 day",2 floors or more,3 rooms,contents (personal belongings),contractor,FS,water
166,"no longer leaking, wet <1 day",2 floors or more,3 rooms,contents (personal belongings),attorney,FS,water
167,"no longer leaking, wet <1 day",2 floors or more,3 rooms,contents (personal belongings),public adjuster,FS,water
168,"no longer leaking, wet <1 day",2 floors or more,4 rooms,floors,no,CCC,water
169,"no longer leaking, wet <1 day",2 floors or more,4 rooms,floors,contractor,FS,water
170,"no longer leaking, wet <1 day",2 floors or more,4 rooms,floors,attorney,FS,water
171,"no longer leaking, wet <1 day",2 floors or more,4 rooms,floors,public adjuster,FS,water
172,"no longer leaking, wet <1 day",2 floors or more,4 rooms,walls,no,CCC,water
173,"no longer leaking, wet <1 day",2 floors or more,4 rooms,walls,contractor,FS,water
174,"no longer leaking, wet <1 day",2 floors or more,4 rooms,walls,attorney,FS,water
175,"no longer leaking, wet <1 day",2 floors or more,4 rooms,walls,public adjuster,FS,water
176,"no longer leaking, wet <1 day",2 floors or more,4 rooms,ceiling,no,CCC,water
177,"no longer leaking, wet <1 day",2 floors or more,4 rooms,ceiling,contractor,FS,water
178,"no longer leaking, wet <1 day",2 floors or more,4 rooms,ceiling,attorney,FS,water
179,"no longer leaking, wet <1 day",2 floors or more,4 rooms,ceiling,public adjuster,FS,water
180,"no longer leaking, wet <1 day",2 floors or more,4 rooms,cabinets,no,CCC,water
181,"no longer leaking, wet <1 day",2 floors or more,4 rooms,cabinets,contractor,FS,water
182,"no longer leaking, wet <1 day",2 floors or more,4 rooms,cabinets,attorney,FS,water
183,"no longer leaking, wet <1 day",2 floors or more,4 rooms,cabinets,public adjuster,FS,water
184,"no longer leaking, wet <1 day",2 floors or more,4 rooms,vinyl floor covering,no,CCC,water
185,"no longer leaking, wet <1 day",2 floors or more,4 rooms,vinyl floor covering,contractor,FS,water
186,"no longer leaking, wet <1 day",2 floors or more,4 rooms,vinyl floor covering,attorney,FS,water
187,"no longer leaking, wet <1 day",2 floors or more,4 rooms,vinyl floor covering,public adjuster,FS,water
188,"no longer leaking, wet <1 day",2 floors or more,4 rooms,fixtures,no,CCC,water
189,"no longer leaking, wet <1 day",2 floors or more,4 rooms,fixtures,contractor,FS,water
190,"no longer leaking, wet <1 day",2 floors or more,4 rooms,fixtures,attorney,FS,water
191,"no longer leaking, wet <1 day",2 floors or more,4 rooms,fixtures,public adjuster,FS,water
192,"no longer leaking, wet <1 day",2 floors or more,4 rooms,contents (personal belongings),no,CCC,water
193,"no longer leaking, wet <1 day",2 floors or more,4 rooms,contents (personal belongings),contractor,FS,water
194,"no longer leaking, wet <1 day",2 floors or more,4 rooms,contents (personal belongings),attorney,FS,water
195,"no longer leaking, wet <1 day",2 floors or more,4 rooms,contents (personal belongings),public adjuster,FS,water
196,"no longer leaking, wet <1 day",2 floors or more,5 or more rooms,floors,no,CCC,water
197,"no longer leaking, wet <1 day",2 floors or more,5 or more rooms,floors,contractor,FS,water
198,"no longer leaking, wet <1 day",2 floors or more,5 or more rooms,floors,attorney,FS,water
199,"no longer leaking, wet <1 day",2 floors or more,5 or more rooms,floors,public adjuster,FS,water
200,"no longer leaking, wet <1 day",2 floors or more,5 or more rooms,walls,no,CCC,water
201,"no longer leaking, wet <1 day",2 floors or more,5 or more rooms,walls,contractor,FS,water
202,"no longer leaking, wet <1 day",2 floors or more,5 or more rooms,walls,attorney,FS,water
203,"no longer leaking, wet <1 day",2 floors or more,5 or more rooms,walls,public adjuster,FS,water
204,"no longer leaking, wet <1 day",2 floors or more,5 or more rooms,ceiling,no,CCC,water
205,"no longer leaking, wet <1 day",2 floors or more,5 or more rooms,ceiling,contractor,FS,water
206,"no longer leaking, wet <1 day",2 floors or more,5 or more rooms,ceiling,attorney,FS,water
207,"no longer leaking, wet <1 day",2 floors or more,5 or more rooms,ceiling,public adjuster,FS,water
208,"no longer leaking, wet <1 day",2 floors or more,5 or more rooms,cabinets,no,CCC,water
209,"no longer leaking, wet <1 day",2 floors or more,5 or more rooms,cabinets,contractor,FS,water
210,"no longer leaking, wet <1 day",2 floors or more,5 or more rooms,cabinets,attorney,FS,water
211,"no longer leaking, wet <1 day",2 floors or more,5 or more rooms,cabinets,public adjuster,FS,water
212,"no longer leaking, wet <1 day",2 floors or more,5 or more rooms,vinyl floor covering,no,CCC,water
213,"no longer leaking, wet <1 day",2 floors or more,5 or more rooms,vinyl floor covering,contractor,FS,water
214,"no longer leaking, wet <1 day",2 floors or more,5 or more rooms,vinyl floor covering,attorney,FS,water
215,"no longer leaking, wet <1 day",2 floors or more,5 or more rooms,vinyl floor covering,public adjuster,FS,water
216,"no longer leaking, wet <1 day",2 floors or more,5 or more rooms,fixtures,no,CCC,water
217,"no longer leaking, wet <1 day",2 floors or more,5 or more rooms,fixtures,contractor,FS,water
218,"no longer leaking, wet <1 day",2 floors or more,5 or more rooms,fixtures,attorney,FS,water
219,"no longer leaking, wet <1 day",2 floors or more,5 or more rooms,fixtures,public adjuster,FS,water
220,"no longer leaking, wet <1 day",2 floors or more,5 or more rooms,contents (personal belongings),no,CCC,water
221,"no longer leaking, wet <1 day",2 floors or more,5 or more rooms,contents (personal belongings),contractor,FS,water
222,"no longer leaking, wet <1 day",2 floors or more,5 or more rooms,contents (personal belongings),attorney,FS,water
223,"no longer leaking, wet <1 day",2 floors or more,5 or more rooms,contents (personal belongings),public adjuster,FS,water
224,"no longer leaking, wet >1 day",1 floor,1-2 rooms,floors,no,CCC,water
225,"no longer leaking, wet >1 day",1 floor,1-2 rooms,floors,contractor,FS,water
226,"no longer leaking, wet >1 day",1 floor,1-2 rooms,floors,attorney,FS,water
227,"no longer leaking, wet >1 day",1 floor,1-2 rooms,floors,public adjuster,FS,water
228,"no longer leaking, wet >1 day",1 floor,1-2 rooms,walls,no,CCC,water
229,"no longer leaking, wet >1 day",1 floor,1-2 rooms,walls,contractor,FS,water
230,"no longer leaking, wet >1 day",1 floor,1-2 rooms,walls,attorney,FS,water
231,"no longer leaking, wet >1 day",1 floor,1-2 rooms,walls,public adjuster,FS,water
232,"no longer leaking, wet >1 day",1 floor,1-2 rooms,ceiling,no,CCC,water
233,"no longer leaking, wet >1 day",1 floor,1-2 rooms,ceiling,contractor,FS,water
234,"no longer leaking, wet >1 day",1 floor,1-2 rooms,ceiling,attorney,FS,water
235,"no longer leaking, wet >1 day",1 floor,1-2 rooms,ceiling,public adjuster,FS,water
236,"no longer leaking, wet >1 day",1 floor,1-2 rooms,cabinets,no,CCC,water
237,"no longer leaking, wet >1 day",1 floor,1-2 rooms,cabinets,contractor,FS,water
238,"no longer leaking, wet >1 day",1 floor,1-2 rooms,cabinets,attorney,FS,water
239,"no longer leaking, wet >1 day",1 floor,1-2 rooms,cabinets,public adjuster,FS,water
240,"no longer leaking, wet >1 day",1 floor,1-2 rooms,vinyl floor covering,no,CCC,water
241,"no longer leaking, wet >1 day",1 floor,1-2 rooms,vinyl floor covering,contractor,FS,water
242,"no longer leaking, wet >1 day",1 floor,1-2 rooms,vinyl floor covering,attorney,FS,water
243,"no longer leaking, wet >1 day",1 floor,1-2 rooms,vinyl floor covering,public adjuster,FS,water
244,"no longer leaking, wet >1 day",1 floor,1-2 rooms,fixtures,no,CCC,water
245,"no longer leaking, wet >1 day",1 floor,1-2 rooms,fixtures,contractor,FS,water
246,"no longer leaking, wet >1 day",1 floor,1-2 rooms,fixtures,attorney,FS,water
247,"no longer leaking, wet >1 day",1 floor,1-2 rooms,fixtures,public adjuster,FS,water
248,"no longer leaking, wet >1 day",1 floor,1-2 rooms,contents (personal belongings),no,CCC,water
249,"no longer leaking, wet >1 day",1 floor,1-2 rooms,contents (personal belongings),contractor,FS,water
250,"no longer leaking, wet >1 day",1 floor,1-2 rooms,contents (personal belongings),attorney,FS,water
251,"no longer leaking, wet >1 day",1 floor,1-2 rooms,contents (personal belongings),public adjuster,FS,water
252,"no longer leaking, wet >1 day",1 floor,3 rooms,floors,no,CCC,water
253,"no longer leaking, wet >1 day",1 floor,3 rooms,floors,contractor,FS,water
254,"no longer leaking, wet >1 day",1 floor,3 rooms,floors,attorney,FS,water
255,"no longer leaking, wet >1 day",1 floor,3 rooms,floors,public adjuster,FS,water
256,"no longer leaking, wet >1 day",1 floor,3 rooms,walls,no,CCC,water
257,"no longer leaking, wet >1 day",1 floor,3 rooms,walls,contractor,FS,water
258,"no longer leaking, wet >1 day",1 floor,3 rooms,walls,attorney,FS,water
259,"no longer leaking, wet >1 day",1 floor,3 rooms,walls,public adjuster,FS,water
260,"no longer leaking, wet >1 day",1 floor,3 rooms,ceiling,no,CCC,water
261,"no longer leaking, wet >1 day",1 floor,3 rooms,ceiling,contractor,FS,water
262,"no longer leaking, wet >1 day",1 floor,3 rooms,ceiling,attorney,FS,water
263,"no longer leaking, wet >1 day",1 floor,3 rooms,ceiling,public adjuster,FS,water
264,"no longer leaking, wet >1 day",1 floor,3 rooms,cabinets,no,CCC,water
265,"no longer leaking, wet >1 day",1 floor,3 rooms,cabinets,contractor,FS,water
266,"no longer leaking, wet >1 day",1 floor,3 rooms,cabinets,attorney,FS,water
267,"no longer leaking, wet >1 day",1 floor,3 rooms,cabinets,public adjuster,FS,water
268,"no longer leaking, wet >1 day",1 floor,3 rooms,vinyl floor covering,no,CCC,water
269,"no longer leaking, wet >1 day",1 floor,3 rooms,vinyl floor covering,contractor,FS,water
270,"no longer leaking, wet >1 day",1 floor,3 rooms,vinyl floor covering,attorney,FS,water
271,"no longer leaking, wet >1 day",1 floor,3 rooms,vinyl floor covering,public adjuster,FS,water
272,"no longer leaking, wet >1 day",1 floor,3 rooms,fixtures,no,CCC,water
273,"no longer leaking, wet >1 day",1 floor,3 rooms,fixtures,contractor,FS,water
274,"no longer leaking, wet >1 day",1 floor,3 rooms,fixtures,attorney,FS,water
275,"no longer leaking, wet >1 day",1 floor,3 rooms,fixtures,public adjuster,FS,water
276,"no longer leaking, wet >1 day",1 floor,3 rooms,contents (personal belongings),no,CCC,water
277,"no longer leaking, wet >1 day",1 floor,3 rooms,contents (personal belongings),contractor,FS,water
278,"no longer leaking, wet >1 day",1 floor,3 rooms,contents (personal belongings),attorney,FS,water
279,"no longer leaking, wet >1 day",1 floor,3 rooms,contents (personal belongings),public adjuster,FS,water
280,"no longer leaking, wet >1 day",1 floor,4 rooms,floors,no,CCC,water
281,"no longer leaking, wet >1 day",1 floor,4 rooms,floors,contractor,FS,water
282,"no longer leaking, wet >1 day",1 floor,4 rooms,floors,attorney,FS,water
283,"no longer leaking, wet >1 day",1 floor,4 rooms,floors,public adjuster,FS,water
284,"no longer leaking, wet >1 day",1 floor,4 rooms,walls,no,CCC,water
285,"no longer leaking, wet >1 day",1 floor,4 rooms,walls,contractor,FS,water
286,"no longer leaking, wet >1 day",1 floor,4 rooms,walls,attorney,FS,water
287,"no longer leaking, wet >1 day",1 floor,4 rooms,walls,public adjuster,FS,water
288,"no longer leaking, wet >1 day",1 floor,4 rooms,ceiling,no,CCC,water
289,"no longer leaking, wet >1 day",1 floor,4 rooms,ceiling,contractor,FS,water
290,"no longer leaking, wet >1 day",1 floor,4 rooms,ceiling,attorney,FS,water
291,"no longer leaking, wet >1 day",1 floor,4 rooms,ceiling,public adjuster,FS,water
292,"no longer leaking, wet >1 day",1 floor,4 rooms,cabinets,no,CCC,water
293,"no longer leaking, wet >1 day",1 floor,4 rooms,cabinets,contractor,FS,water
294,"no longer leaking, wet >1 day",1 floor,4 rooms,cabinets,attorney,FS,water
295,"no longer leaking, wet >1 day",1 floor,4 rooms,cabinets,public adjuster,FS,water
296,"no longer leaking, wet >1 day",1 floor,4 rooms,vinyl floor covering,no,CCC,water
297,"no longer leaking, wet >1 day",1 floor,4 rooms,vinyl floor covering,contractor,FS,water
298,"no longer leaking, wet >1 day",1 floor,4 rooms,vinyl floor covering,attorney,FS,water
299,"no longer leaking, wet >1 day",1 floor,4 rooms,vinyl floor covering,public adjuster,FS,water
300,"no longer leaking, wet >1 day",1 floor,4 rooms,fixtures,no,CCC,water
301,"no longer leaking, wet >1 day",1 floor,4 rooms,fixtures,contractor,FS,water
302,"no longer leaking, wet >1 day",1 floor,4 rooms,fixtures,attorney,FS,water
303,"no longer leaking, wet >1 day",1 floor,4 rooms,fixtures,public adjuster,FS,water
304,"no longer leaking, wet >1 day",1 floor,4 rooms,contents (personal belongings),no,CCC,water
305,"no longer leaking, wet >1 day",1 floor,4 rooms,contents (personal belongings),contractor,FS,water
306,"no longer leaking, wet >1 day",1 floor,4 rooms,contents (personal belongings),attorney,FS,water
307,"no longer leaking, wet >1 day",1 floor,4 rooms,contents (personal belongings),public adjuster,FS,water
308,"no longer leaking, wet >1 day",1 floor,5 or more rooms,floors,no,CCC,water
309,"no longer leaking, wet >1 day",1 floor,5 or more rooms,floors,contractor,FS,water
310,"no longer leaking, wet >1 day",1 floor,5 or more rooms,floors,attorney,FS,water
311,"no longer leaking, wet >1 day",1 floor,5 or more rooms,floors,public adjuster,FS,water
312,"no longer leaking, wet >1 day",1 floor,5 or more rooms,walls,no,CCC,water
